Sample_name	Weight
906808	1.0
917486	1.0
908463	1.0
753541	7.0
906792	1.0
924238	1.0
949176	1.0
905936	1.0
724828	1.0
909696	1.0
906794	1.0
688031	1.0
924187	1.0
906863	7.0
906833	1.0
924151	1.0
907299	1.0
1298218	1.0
946370	1.0
906868	1.0
753562	7.0
905948	1.0
908141	1.0
1240179	1.0
949157	1.0
1299070	1.0
908444	7.0
753563	1.0
907314	1.0
1330973	1.0
1290769	1.0
906763	1.0
909720	1.0
1298168	1.0
753589	1.0
687448	1.0
1240174	1.0
1290813	1.0
688006	1.0
1299081	1.0
1331037	1.0
1240182	1.0
724878	1.0
949178	1.0
908483	1.0
909774	1.0
1298475	1.0
1331050	1.0
753538	7.0
908447	1.0
949170	1.0
906801	1.0
908147	1.0
1331049	1.0
908131	1.0
687562	1.0
753561	7.0
688121	1.0
909907	1.0
906818	1.0
